# tiempo	mean_var1	std_var1	mean_var2	std_var2	mean_var3	std_var3	mean_var4	std_var4	mean_var5	std_var5	mean_var6	std_var6	mean_var7	std_var7	mean_var8	std_var8	mean_var9	std_var9	mean_var10	std_var10	mean_var11	std_var11
590	0.829051	0.002383	0.531327	0.005851	0.278858	0.007736	0.123688	0.007675	0.044502	0.005536	0.013850	0.004970	0.006578	0.003187	0.000829	0.001678	0.002894	0.001260	0.001331	0.003492	-0.001862	0.002231
591	0.825829	0.001503	0.522704	0.003955	0.270409	0.006990	0.122319	0.003309	0.039718	0.002318	0.014680	0.001516	0.003646	0.001968	0.000830	0.002409	0.000656	0.002376	-0.003202	0.002980	-0.002035	0.001859
592	0.827566	0.001873	0.524248	0.004749	0.274711	0.006112	0.125868	0.006305	0.042805	0.004612	0.010436	0.003860	-0.000116	0.003963	-0.004032	0.002671	-0.000733	0.001827	0.000019	0.002099	-0.001013	0.001587
593	0.827836	0.002884	0.525174	0.007498	0.274807	0.008678	0.123071	0.006895	0.047203	0.006522	0.011690	0.004526	0.002025	0.002697	-0.000772	0.002889	-0.001273	0.003147	-0.002334	0.001844	-0.001186	0.002098
594	0.826678	0.002237	0.523746	0.006910	0.272087	0.008589	0.114275	0.006799	0.044425	0.004132	0.013407	0.002887	0.003472	0.002036	-0.002045	0.002290	0.000444	0.001760	-0.000463	0.002475	-0.000762	0.001486
595	0.829417	0.001519	0.530363	0.002477	0.275096	0.004903	0.122010	0.005317	0.042284	0.003132	0.014911	0.000773	0.001582	0.001459	0.000637	0.001390	-0.001389	0.001631	-0.004629	0.002570	-0.001244	0.002328
596	0.829282	0.001877	0.529456	0.004169	0.281115	0.004797	0.122859	0.002591	0.041397	0.003590	0.017361	0.003568	0.001312	0.002514	0.001987	0.001052	-0.000791	0.001181	-0.001910	0.001502	-0.000916	0.002208
597	0.828414	0.001784	0.527257	0.004317	0.281675	0.006478	0.125829	0.006314	0.048515	0.003481	0.019059	0.002745	0.005845	0.003525	0.001215	0.001290	-0.001389	0.001511	-0.002373	0.001661	-0.000164	0.002287
598	0.830382	0.002354	0.532465	0.006032	0.282813	0.008054	0.122492	0.007431	0.045795	0.006108	0.011285	0.005877	0.008083	0.005926	0.001852	0.003605	-0.000000	0.001525	0.000193	0.002025	0.000077	0.002173
599	0.830401	0.002680	0.529938	0.005350	0.277604	0.005579	0.122936	0.006756	0.046277	0.005209	0.013156	0.003968	0.002681	0.002439	0.001466	0.002555	-0.001948	0.001080	0.001910	0.001777	-0.001013	0.002485
